UserID,Rating,Date,Year,Title
6,3,2005-12-04,1990,The Grifters
6,3,2005-11-25,2003,The Matrix: Revolutions
6,3,2005-03-18,1968,Rosemary's Baby
6,2,2004-09-27,1973,The Sting
6,5,2004-09-15,2004,Kill Bill: Vol. 2
6,4,2004-12-16,2003,Bad Boys II
6,3,2004-10-16,1996,Michael Collins
6,3,2005-12-04,2003,People I Know
6,4,2004-03-09,1997,Liar Liar
6,5,2005-11-25,2004,Ray
6,4,2005-11-10,1998,Elizabeth
6,3,2005-04-20,2004,Super Size Me
6,2,2004-09-22,2000,Appalachian Journey: Yo-Yo Ma/Edgar Meyer/Mark O'Connor
6,3,2004-09-27,1981,History of the World: Part 1
6,3,2004-12-16,1944,Going My Way / Holiday Inn
6,3,2005-12-04,1991,The Addams Family
6,4,2005-12-04,1981,Clash of the Titans
6,3,2005-04-20,2003,The Italian Job
6,4,2004-03-09,1968,Where Eagles Dare
6,3,2004-12-13,1989,Harlem Nights
6,3,2005-12-04,2000,Dinosaur
6,4,2004-09-15,1995,The American President
6,4,2004-09-27,1990,Predator 2
6,3,2005-01-20,1971,THX 1138: Special Edition
6,3,2005-01-12,2001,The Wedding Planner
6,4,2005-04-20,1992,Bram Stoker's Dracula
6,4,2005-01-20,1984,1984
6,1,2005-04-20,2004,Napoleon Dynamite
6,3,2005-12-04,1991,Robin Hood: Prince of Thieves
6,3,2004-09-15,2004,Laird: White Knuckle Extreme
6,4,2004-11-24,1999,The Sixth Sense
6,4,2004-11-10,2004,The Passion of the Christ
6,3,2005-02-18,1993,Grumpy Old Men
6,5,2004-09-22,1993,Three Musketeers
6,3,2004-03-09,2003,American Wedding
6,4,2005-12-04,1987,Moonstruck
6,3,2005-04-06,2004,Finding Neverland
6,3,2004-11-17,1952,Singin' in the Rain
6,3,2005-01-20,1974,Murder on the Orient Express
6,4,2004-09-27,1995,Ace Ventura: When Nature Calls
6,3,2005-04-20,2002,Collateral Damage
6,5,2004-09-15,1995,Braveheart
6,4,2004-09-22,1992,Under Siege
6,3,2005-12-04,1996,First Kid
6,3,2004-09-27,1994,Clerks
6,3,2004-09-15,2003,Bruce Almighty
6,2,2005-12-04,2002,28 Days Later
6,4,2004-09-15,2003,The Recruit
6,4,2004-12-07,2002,Road to Perdition
6,3,2005-12-04,1965,Doctor Zhivago
6,4,2004-10-13,1991,Hook
6,3,2004-03-09,1989,Major League
6,2,2005-10-26,1991,Fried Green Tomatoes
6,3,2004-10-10,1974,Pink Floyd: Live at Pompeii: Director's Cut
6,3,2004-09-27,1990,Die Hard 2: Die Harder
6,4,2005-10-26,2005,The Hitchhiker's Guide to the Galaxy
6,1,2005-12-02,2005,Last Days
6,3,2004-09-15,1998,Sphere
6,3,2004-09-27,1997,Alien: Resurrection: Collector's Edition
6,3,2005-04-20,2004,Eternal Sunshine of the Spotless Mind
6,3,2004-11-10,1988,Who Framed Roger Rabbit?: Special Edition
6,3,2004-10-14,1992,Aladdin: Platinum Edition
6,3,2004-12-13,1989,When Harry Met Sally
6,5,2004-09-15,1974,The Godfather
6,4,2004-09-27,2003,The Last Samurai
6,3,2005-12-04,1993,Sleepless in Seattle
6,3,2004-09-15,2003,The Matrix: Reloaded
6,3,2005-12-04,1990,Joe Versus the Volcano
6,4,2004-09-27,1994,The Flintstones
6,1,2005-11-25,2003,S.W.A.T.
6,3,2005-12-04,2001,The Others
6,3,2004-03-09,2001,Dr. Dolittle 2
6,3,2005-12-04,1979,The Amityville Horror
6,3,2004-09-15,2003,Something's Gotta Give
6,2,2005-11-25,1994,Beverly Hills Cop III
6,3,2004-12-13,2001,A Beautiful Mind
6,2,2005-03-23,1994,Stargate
6,4,2005-01-12,2003,Elf
6,5,2005-11-25,2002,Signs
6,3,2005-12-04,1970,The Molly Maguires
6,4,2004-09-27,2003,Pirates of the Caribbean: The Curse of the Black Pearl
6,2,2005-03-23,2004,Surviving Christmas
6,4,2004-12-07,2004,Shrek 2
6,4,2005-10-26,1996,The People vs. Larry Flynt
6,3,2004-09-27,1994,Four Weddings and a Funeral
6,5,2004-12-14,2004,The Bourne Supremacy
6,4,2004-09-27,2004,Scooby-Doo 2: Monsters Unleashed
6,3,2005-12-04,2002,About a Boy
6,3,2004-09-27,1964,Goldfinger
6,4,2005-08-29,2003,Finding Nemo (Widescreen)
6,3,2004-09-22,2003,Identity
6,4,2005-08-29,2002,U2: Go Home: Live From Slane Castle
6,4,2004-11-17,2002,Men in Black II
6,3,2005-05-15,1988,Dirty Rotten Scoundrels
6,4,2005-12-04,1978,Cheech & Chong's Up in Smoke
6,4,2004-12-07,2004,50 First Dates
6,2,2004-11-24,2003,X2: X-Men United
6,3,2004-09-22,2004,Taking Lives
6,5,2004-10-10,1992,Reservoir Dogs
6,3,2005-03-23,2002,About Schmidt
6,3,2004-11-17,1983,Monty Python's The Meaning of Life: Special Edition
6,4,2004-09-27,1998,From the Earth to the Moon: The Signature Edition
6,4,2005-08-29,1962,The Longest Day
6,3,2005-12-04,2000,Napoleon
6,3,2004-10-16,1941,The Maltese Falcon
6,3,2005-11-25,2005,Batman Begins
6,3,2004-03-28,1991,Curly Sue
6,4,2005-03-23,2004,The Village
6,3,2005-12-04,2002,The Mothman Prophecies
6,3,2005-10-26,1938,Bringing Up Baby
6,3,2005-04-20,2001,Bridget Jones's Diary
6,3,2005-04-20,2000,Saturday Night Live: The Best of Eddie Murphy
6,3,2004-09-27,2002,Ghost Ship
6,1,2005-08-29,2004,Six Feet Under: Season 4
6,5,2004-09-15,2001,Lord of the Rings: The Fellowship of the Ring
6,1,2005-08-29,2002,Curb Your Enthusiasm: Season 3
6,3,2005-01-12,2000,What Women Want
6,3,2005-11-25,1959,North by Northwest
6,4,2004-10-14,1991,The Silence of the Lambs
6,4,2005-12-04,1965,The Spy Who Came In from the Cold
6,4,2004-09-15,1993,Falling Down
6,3,2005-10-26,1991,Mobsters
6,3,2005-12-04,1975,Three Days of the Condor
6,4,2004-09-15,1999,End of Days
6,4,2004-03-09,1964,A Fistful of Dollars
6,4,2005-08-29,1995,Casino: 10th Anniversary Edition
6,3,2005-05-15,2004,The Phantom of the Opera: Special Edition
6,3,2004-09-15,1990,Presumed Innocent
6,4,2005-12-04,2004,The Alamo
6,3,2004-12-07,2003,Love Actually
6,4,2004-09-15,1999,Dogma
6,4,2005-12-04,1982,Poltergeist
6,4,2004-09-27,1988,Madonna: The Girlie Show: Live Down Under
6,3,2005-08-29,1999,Friends: Season 6
6,3,2004-10-10,1994,The Mask: Special Edition
6,3,2005-06-22,1988,Beaches
6,3,2004-10-14,1954,Seven Samurai
6,4,2005-12-04,1957,The Seventh Seal
6,2,2005-10-26,1984,The Pope of Greenwich Village
6,4,2004-09-15,1968,The Devil's Brigade
6,3,2005-01-12,1997,The Full Monty
6,4,2005-04-20,2004,Friday Night Lights
6,4,2004-09-27,1991,For the Boys
6,3,2004-11-17,2002,The Sum of All Fears
6,3,2004-09-25,1995,Under Siege 2: Dark Territory
6,3,2005-12-04,1983,Bill Cosby: Himself
6,4,2004-12-07,2004,Along Came Polly
6,4,2004-09-27,1999,The Mummy
6,4,2004-09-27,1999,Sleepy Hollow
6,3,2005-03-23,1987,Lethal Weapon
6,4,2004-12-07,2004,Man on Fire
6,3,2005-11-10,2005,The Amityville Horror
6,4,2004-11-10,1979,Escape from Alcatraz
7,3,2005-05-23,1974,The Longest Yard
7,4,2005-05-23,1987,Outrageous Fortune
7,1,2005-01-19,2004,Dawn of the Dead
7,5,2005-01-19,2004,Man on Fire
7,3,2005-05-23,1976,The Bad News Bears
7,5,2005-05-23,1998,Elizabeth
7,4,2005-05-23,1990,Ghost
7,5,2005-04-02,1981,For Your Eyes Only
7,4,2005-05-23,1983,National Lampoon's Vacation
7,3,2005-05-23,1984,Sixteen Candles
7,4,2005-05-23,1976,The Omen
7,4,2004-08-24,2003,The Missing
7,4,2005-05-23,2004,Taxi
7,4,2004-06-09,1999,American Beauty
